Country Name,Country Code,Region,%Essential Workers,%Indoor Essential Workers,%Vital Workers,%Indoor Vital Workers,"GDP per capita, PPP (current international $)",GDP Year (PPP),GDP Year (USD),GDP per capita (current US$),Food % of Essential Workers,Food % of Indoor Essential Workers,Food % of Vital Workers,Food % of Indoor Vital Workers
Iceland,ISL,Northern Europe,0.3222849967757124,0.2617676036950138,0.1520486595238551,0.1128499851664847,83561.4294628375,2024.0,2024.0,85863.1479330343,0.11463982296309473,0.02922518976639706,0.1972824251620359,0.006203290245210491
Israel,ISR,Western Asia,0.2597318401202997,0.2296232837612278,0.1177485575146867,0.1028293830614975,57277.8631217651,2024.0,2024.0,54216.5218142787,0.0439107033782845,0.018716250804715888,0.06234649751880356,0.0022745378998464323
Italy,ITA,Southern Europe,0.3359170769217655,0.2647266441283876,0.1531720912908753,0.112006007466705,62292.9012423008,2024.0,2024.0,40429.6224047352,0.10968516199541073,0.022453469496616293,0.21709302749919415,0.020994460115076635
Jamaica,JAM,Caribbean,0.3649725925069614,0.2874238921376795,0.1576080900279289,0.116574925491559,12908.9862451809,2024.0,2024.0,7753.8119527678,,,,
Jordan,JOR,Western Asia,0.4829000000000001,0.4133961575186846,0.1925477297545068,0.1587249265975669,11916.3623210714,2024.0,2024.0,5073.92103605892,0.049102765670872135,0.003564702619953864,0.12111763498917083,0.006822082056883643
Japan,JPN,Eastern Asia,0.3440063686133491,0.2757226534142469,0.1407600926412736,0.1020035653644592,54156.2687689605,2024.0,2024.0,33797.1014287876,0.07535244686371402,0.0,0.1841553321350676,0.0
Kazakhstan,KAZ,Central Asia,0.5597999999999999,0.2127688293010724,0.4162491378224959,0.0951946791058932,40950.3167392792,2024.0,2024.0,14154.6324958076,,,,
Kenya,KEN,Eastern Africa,0.6295506945430813,0.1954216735228336,0.513054845896546,0.0972177102170854,6649.67919174449,2024.0,2024.0,2133.46193404026,0.7016013534448712,0.1733297302117367,0.8609091657281588,0.3484178538416755
Kyrgyzstan,KGZ,Central Asia,0.5375,0.3278985221395367,0.3090055883941508,0.1403154162024926,8208.03081858011,2024.0,2024.0,2514.81066933171,0.295199094900432,0.03447471445271092,0.47863569991608657,0.0038185432845634104
Cambodia,KHM,South-eastern Asia,0.5805000000000001,0.2458109910013114,0.370011199927399,0.0765092030898363,7981.50816402382,2024.0,2024.0,2627.87969756224,0.5016283574646109,0.03962182032184408,0.7830563904555446,0.1082726223658194
Kiribati,KIR,Micronesia,0.6014999999999999,0.3540385780486709,0.3559993098144707,0.1421124139140642,3728.03970809328,2024.0,2024.0,2550.98377226188,0.4124767442303901,0.13021142704142669,0.6436479153752074,0.19092857344861963
St. Kitts and Nevis,KNA,Caribbean,0.8699712549514417,0.2033311780756395,0.7402612516759507,0.0981482873673887,34897.2104637487,2024.0,2024.0,23960.6534357084,,,,
South Korea,KOR,Eastern Asia,0.4291375428625743,0.2648420487037012,0.2318082822875489,0.1006715899209239,61051.3492502498,2024.0,2024.0,36238.639908315,,,,
Kuwait,KWT,Western Asia,0.3394119253646364,0.2762814377295813,0.1476512192107522,0.1159024937124508,53119.3783662664,2024.0,2024.0,32855.7209688827,,,,
Laos,LAO,South-eastern Asia,0.5696,0.1072867177911481,0.4694176965167524,0.0290552272044678,9790.02538664409,2024.0,2024.0,2123.97909415109,0.7590140176738094,0.0012073695584650184,0.9210014613319393,0.004458224201005069
Lebanon,LBN,Western Asia,0.3520833768831538,0.2817048426349473,0.1545801840686107,0.115668761307049,11917.4502960889,2024.0,2024.0,4473.27134441128,0.0908780216103605,0.024818641701252753,0.1709858718417882,0.012327601230888365
Liberia,LBR,Western Africa,0.8181537154802424,0.3754566443269116,0.4940213867667875,0.1177984610038953,1873.76133636244,2024.0,2024.0,851.497723870206,0.4469474953799316,0.01734596118390309,0.7353297409601777,0.03488603105712371
Libya,LBY,Northern Africa,0.4842498346295333,0.3017975911141075,0.2743136689965492,0.1354089361917108,14324.5818697336,2024.0,2024.0,6569.16408678648,,,,
St. Lucia,LCA,Caribbean,0.8699712549514417,0.2033311780756395,0.7402612516759507,0.0981482873673887,28116.7677870924,2024.0,2024.0,14493.658470648,,,,
Liechtenstein,LIE,Western Europe,0.2871999999999999,0.234931807664474,0.1126129820091185,0.0850725965592388,,,2024.0,220167.225473557,,,,
Sri Lanka,LKA,Southern Asia,0.4724158670313007,0.2330275836413049,0.3079491517941968,0.1049346484966548,15701.0907191253,2024.0,2024.0,4545.36006870612,0.43429304197997803,0.07576796954377117,0.6582320493262062,0.1447672849621824
Lesotho,LSO,Southern Africa,0.5701,0.1872305450199895,0.411564805720985,0.073416237231109,3070.79580931865,2024.0,2024.0,1023.04227681523,0.6104646300068295,0.09393941068149958,0.8383102547595929,0.19861326564585866
Lithuania,LTU,Northern Europe,0.3142890256024868,0.2432105507200732,0.1531652547260371,0.1080082981320006,55699.3734421294,2024.0,2024.0,29603.7772588256,0.1211296382093739,0.026863071013277135,0.2167959189217275,0.01545500211416457
Luxembourg,LUX,Western Europe,0.1974903505323324,0.1635573869937804,0.0913175820554293,0.0700502812302023,156079.3685607,2024.0,2024.0,137781.681659123,0.11830378699510662,0.0487160524810369,0.17257495870036862,0.00518401683676518
Latvia,LVA,Northern Europe,0.3227451018423932,0.2504428446952981,0.1668428545662848,0.1173487321094404,43873.3777849582,2024.0,2024.0,23578.9663562625,0.12662265078336699,0.02895945831667268,0.21220922803631861,0.015265969539809004
Macau,MAC,Eastern Asia,0.3659435936873028,0.2219045890323851,0.2097418542527571,0.0924700033775039,127144.298137913,2024.0,2024.0,72004.7437020733,,,,
Saint-Martin,MAF,Caribbean,0.8699712549514417,0.2033311780756395,0.7402612516759507,0.0981482873673887,,,2021.0,21668.3776525323,,,,
Morocco,MAR,Northern Africa,0.4842498346295333,0.3017975911141075,0.2743136689965492,0.1354089361917108,10430.2490234375,2024.0,2024.0,4153.1943359375,,,,
