Country Name,Country Code,Region,occupational_group,Essential Workers,Vital Workers,Indoor Essential Workers,Indoor Vital Workers,% of Essential Workers,% of Vital Workers,% of Indoor Essential Workers,% of Indoor Vital Workers
Benin,BEN,Western Africa,Cleaning,38089.277698879705,4329.4933967414845,24453.654430798557,2074.5489192719615,0.008320262708351527,0.001499700433764217,0.009804358077333576,0.0018603954386121713
Benin,BEN,Western Africa,Tech,151919.26597688772,11534.024774242229,106893.75587140265,8354.9286717592,0.03318540754120977,0.0039952900655760345,0.04285758849500867,0.007492458262360794
Benin,BEN,Western Africa,ArmedForces,3457.610211144981,1383.0440844579923,3457.610211144981,1383.0440844579923,0.0007552840861734476,0.0004790749455670168,0.0013862814941563448,0.0012402739131493522
Burkina Faso,BFA,Western Africa,Food,3151183.2887846846,3083944.133229011,110424.68313246143,68400.21091016544,0.7061367555149155,0.9009169123987777,0.09311179516739936,0.22183534666571073
Burkina Faso,BFA,Western Africa,Health,57106.64339025056,35304.60278917266,52732.13461807365,32800.82185115134,0.012796811923146172,0.010313582984716406,0.04446454884917319,0.10637952119514565
Burkina Faso,BFA,Western Africa,Retail,776186.9045908127,59634.771760519856,715617.2611262383,55047.48162509526,0.17393279040023882,0.017421189270974295,0.6034195068172559,0.17852981747988317
Burkina Faso,BFA,Western Africa,Security,23336.33633663929,18669.06906931143,19058.008008255416,15246.406406604337,0.005229351426496873,0.005453821255079976,0.016070006158266977,0.04944709680877219
Burkina Faso,BFA,Western Africa,Transport,51736.98827350349,42330.263132866494,10713.214743503248,8765.357517411749,0.011593546198848623,0.012365998965992922,0.009033547830830907,0.028427779646435974
Burkina Faso,BFA,Western Africa,Manual,273775.6155466413,131389.96262103005,180854.34173212567,87221.20306257064,0.061349343146511456,0.03838313352349533,0.15249916906980182,0.2828755286061575
Burkina Faso,BFA,Western Africa,Cleaning,46137.57087598549,3506.6150658393144,31696.320463791762,1680.2530523813384,0.010338793913277175,0.0010243923630287094,0.026726826057943527,0.005449391360074555
Burkina Faso,BFA,Western Africa,Tech,77969.15645191663,46283.53366802548,59705.11198425546,37121.81388845452,0.01747181364001997,0.013520873415901778,0.05034427086248426,0.12039334883953483
Burkina Faso,BFA,Western Africa,ArmedForces,5135.4957495646495,2054.19829982586,5135.4957495646495,2054.19829982586,0.0011507938365453816,0.0006000958220330069,0.004330329186844141,0.0066621693982855746
Bangladesh,BGD,Southern Asia,Food,31021297.30741989,31002669.70420836,14730745.692280525,14719103.44027332,0.5951876162454494,0.7992761192535573,0.5180392599411866,0.8090912681917071
Bangladesh,BGD,Southern Asia,Health,521426.1162605715,289000.050596451,466779.34502009803,262213.83902020176,0.010004300081641696,0.007450675735627308,0.01641532828692855,0.014413576778717959
Bangladesh,BGD,Southern Asia,Retail,8455229.04230757,643551.3702762858,7722616.443315429,594047.4187165714,0.1622255693767082,0.016591320898564958,0.27158289136721986,0.032654066283705374
Bangladesh,BGD,Southern Asia,Security,533319.2423450276,426655.39387602225,435544.04791510594,348435.2383320848,0.010232486585054655,0.010999551675046067,0.015316869964836092,0.019153062549545564
Bangladesh,BGD,Southern Asia,Transport,5258419.378928354,4302343.128214108,1088864.6188690027,890889.2336200931,0.10089023886872227,0.11091819356284012,0.03829233313223492,0.04897110090793915
Bangladesh,BGD,Southern Asia,Manual,5094265.913780475,1937372.006686482,3090854.936960651,1240579.6044576366,0.09774072166279846,0.04994715596523782,0.10869675151392645,0.06819315656937573
Bangladesh,BGD,Southern Asia,Cleaning,681089.8574974024,47980.08100260748,472427.0146337541,22990.455480416087,0.013067675562229663,0.0012369687291810818,0.01661394108278884,0.0012637574602580158
Bangladesh,BGD,Southern Asia,Tech,502486.7983808395,117796.80376355218,375079.86782563204,92816.67214459559,0.009640922388231811,0.003036905307539513,0.013190513311831346,0.005102019921222203
Bangladesh,BGD,Southern Asia,ArmedForces,52665.85782752828,21066.343131011316,52665.85782752828,21066.343131011316,0.0010104692291637567,0.0005431088724056871,0.0018521113990473564,0.001157991337529122
Bulgaria,BGR,Eastern Europe,Food,117751.92767530945,102009.9051957373,51669.042393411255,41830.27834367866,0.09575595612882792,0.16990648459674626,0.06417500493903344,0.12568923572260113
Bulgaria,BGR,Eastern Europe,Health,159246.44952666058,79520.04639575427,138193.0840152842,70109.31704002757,0.12949933250004816,0.13244764331608608,0.17164130470418834,0.21066047907678476
Bulgaria,BGR,Eastern Europe,Retail,265998.0779335023,20215.658943327133,242587.9073199256,18660.60825537889,0.21630983699211076,0.03367096105301563,0.3013038258357818,0.05607033188895511
