Region,occupational_group,% of Essential Workers,% of Vital Workers,% of Indoor Essential Workers,% of Indoor Vital Workers
Southern Asia,Manual,0.13161716485290817,0.08387411235213156,0.2812316205532518,0.3111991583480657
Southern Asia,Cleaning,0.019977449330636044,0.002006417372983258,0.04318903749879703,0.006193829412097561
Southern Asia,Tech,0.017526518147692856,0.0051229049621473125,0.04594927812878221,0.02452091818344975
Southern Asia,ArmedForces,0.0030310499758275356,0.0016548160725335201,0.008487931766636227,0.00817349259405992
Southern Europe,Food,0.14853020542165662,0.2764244761218448,0.029896009936034335,0.01730328494982114
Southern Europe,Health,0.1788467110795211,0.1995224225710533,0.23114381366568612,0.2917923587226333
Southern Europe,Retail,0.208573465727188,0.03324260160368659,0.20738922559485937,0.038222407666999275
Southern Europe,Security,0.04426215790483263,0.07456438314781552,0.058147711565800356,0.1114545536874433
Southern Europe,Transport,0.09818840955572822,0.1691682703591483,0.10553829992991523,0.20688791408408738
Southern Europe,Manual,0.16407613586780712,0.176936067484292,0.1870280787174892,0.23753858642766593
Southern Europe,Cleaning,0.0734863339312301,0.009335029788052802,0.07559670462100589,0.008720916196542815
Southern Europe,Tech,0.07670806951841594,0.054633914978615375,0.09563260585337315,0.07885318092085825
Southern Europe,ArmedForces,0.007328510993620459,0.006172833945491303,0.009627550115836377,0.009226797343948639
Western Africa,Food,0.5525141577700162,0.801115342511352,0.06724542429585709,0.028487862828770544
Western Africa,Health,0.016391510682766813,0.01458334531515637,0.04043731026947326,0.07981842134640223
Western Africa,Retail,0.18860642008721795,0.021156276918851757,0.35324042868479705,0.09170401761177842
Western Africa,Security,0.012006252881381905,0.014538983432335452,0.03034416665074356,0.08192689844273367
Western Africa,Transport,0.04819183553472228,0.05968426645548817,0.09965314761827461,0.2751706799707447
Western Africa,Manual,0.12127188825675793,0.07346830271724324,0.26760821899868936,0.3638492978907525
Western Africa,Cleaning,0.016925718303737385,0.0030181038189727345,0.031448500964587206,0.010629348942163582
Western Africa,Tech,0.041392888651480324,0.01080100201818231,0.10320061957790609,0.05920379033985299
Western Africa,ArmedForces,0.002699327831919264,0.0016343768124180574,0.006822182939671751,0.009209682626801384
